Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
20.82,-2.83,0.70,0.40,EDC,"Baggenstos et al, 2019",1.1,-0.330833254,-0.092224916,0.147930339,0.239381797
20.97,-2.82,0.71,0.33,WD,"Bereiter et al, 2018",1.11,-0.33263198,-0.092926032,0.148817765,0.240724873
21.66,-2.56,0.97,0.34,WD,"Bereiter et al, 2018",1.12,-0.335503756,-0.093625907,0.147295243,0.2413995
21.93,-3.15,0.38,0.40,EDC,"Baggenstos et al, 2019",1.13,-0.336024262,-0.094324554,0.14775125,0.241887756
23.00,-3.17,0.36,0.40,EDC,"Baggenstos et al, 2019",1.14,-0.337634577,-0.095021989,0.146647565,0.242141071
23.75,-2.10,1.43,0.42,WD,"Bereiter et al, 2018",1.15,-0.337738755,-0.09571823,0.148034774,0.242886764
23.93,-2.88,0.65,0.40,EDC,"Baggenstos et al, 2019",1.16,-0.340069611,-0.09641329,0.14585703,0.24296332
24.72,-2.89,0.64,0.40,EDC,"Baggenstos et al, 2019",1.17,-0.341499344,-0.097107187,0.144305032,0.242902188
,,,,,,1.18,-0.345266645,-0.097799935,0.144561738,0.244914191
,,,,,,1.19,-0.345692954,-0.098491551,0.142656509,0.244174732
,,,,,,1.2,-0.348104517,-0.09918205,0.141206935,0.244655726
,,,,,,1.21,-0.348519958,-0.099871447,0.14215167,0.245335814
,,,,,,1.22,-0.349307259,-0.10055976,0.142440179,0.245873719
,,,,,,1.23,-0.351811562,-0.101247003,0.14305669,0.247434126
,,,,,,1.24,-0.352498807,-0.101933192,0.143108012,0.247803409
,,,,,,1.25,-0.35556936,-0.102618343,0.143988973,0.249779167
,,,,,,1.26,-0.35804829,-0.103302472,0.146492464,0.252270377
,,,,,,1.27,-0.359260722,-0.103985594,0.146905376,0.253083049
,,,,,,1.28,-0.361091348,-0.104667726,0.147142543,0.254116946
,,,,,,1.29,-0.363701043,-0.105348882,0.147631709,0.255666376
,,,,,,1.3,-0.366536581,-0.106029079,0.148633968,0.257585274
,,,,,,1.31,-0.366760155,-0.106708332,0.147395612,0.257077884
,,,,,,1.32,-0.36866143,-0.107386658,0.145460558,0.257060994
,,,,,,1.33,-0.368987317,-0.108064071,0.146116735,0.257552026
,,,,,,1.34,-0.371361033,-0.108740588,0.146156784,0.258758909
,,,,,,1.35,-0.373395512,-0.109416224,0.145023889,0.2592097
,,,,,,1.36,-0.374963377,-0.110090996,0.143254894,0.259109135
,,,,,,1.37,-0.376575815,-0.110764918,0.144184392,0.260380103
,,,,,,1.38,-0.377911955,-0.111438007,0.144674849,0.261293402
,,,,,,1.39,-0.379244099,-0.112110278,0.144469303,0.261856701
,,,,,,1.4,-0.382084563,-0.112781747,0.143759685,0.262922124
,,,,,,1.41,-0.383310553,-0.113452431,0.143401034,0.263355794
,,,,,,1.42,-0.384064025,-0.114122343,0.143332747,0.263698386
,,,,,,1.43,-0.387452646,-0.114791501,0.140818172,0.264135409
,,,,,,1.44,-0.38940176,-0.11545992,0.140205369,0.264803565
,,,,,,1.45,-0.39219621,-0.116127616,0.139725647,0.265960929
,,,,,,1.46,-0.392174641,-0.116794604,0.140757717,0.266466179
,,,,,,1.47,-0.391205645,-0.117460901,0.141581208,0.266393426
,,,,,,1.48,-0.39107934,-0.118126522,0.141630049,0.266354694
,,,,,,1.49,-0.394484951,-0.118791482,0.140963006,0.267723979
,,,,,,1.5,-0.397122565,-0.119455798,0.138455647,0.267789106
,,,,,,1.51,-0.399576162,-0.120119485,0.137087353,0.268331757
,,,,,,1.52,-0.400293465,-0.120782559,0.136177653,0.268235559
,,,,,,1.53,-0.402566877,-0.121445036,0.136518861,0.269542869
,,,,,,1.54,-0.403651906,-0.122106931,0.137110153,0.270381029
,,,,,,1.55,-0.404580516,-0.122768261,0.136325635,0.270453076
,,,,,,1.56,-0.404242713,-0.123429041,0.134606078,0.269424396
,,,,,,1.57,-0.404001408,-0.124089286,0.133340409,0.268670909
,,,,,,1.58,-0.404269533,-0.124749013,0.132722065,0.268495799
,,,,,,1.59,-0.40352576,-0.125408237,0.133070306,0.268298033
,,,,,,1.6,-0.403108033,-0.126066974,0.132806144,0.267957089
,,,,,,1.61,-0.404225189,-0.126725239,0.132714779,0.268469984
,,,,,,1.62,-0.404601169,-0.127383049,0.132271265,0.268436217
,,,,,,1.63,-0.405193338,-0.128040419,0.132808329,0.269000834
,,,,,,1.64,-0.405109397,-0.128697365,0.132162878,0.268636137
,,,,,,1.65,-0.405252204,-0.129353903,0.131733595,0.268492899
,,,,,,1.66,-0.406037551,-0.130010048,0.131697288,0.268867419
