Termination I Mean Ocean Temperature compilation,,,,,,,,,,
"Fig. 1 of Shackleton et al. (2021) Climate of the Past, 17(5), 2273-2289.",,,,,,,,,,
,,,,,,,,,,
Full references,,,,,,,,,,
"Bereiter et al. (2018) Nature, 553(7686), 39-44.",,,,,,,,,,
"Baggenstos et al. (2019) PNAS, 116(30), 14881-14886.",,,,,,,,,,
"Shackleton et al. (2020) Nature geoscience, 13(1), 77-81.",,,,,,Age (ka),Lower bound,Mean ,Upper bound,std
"Shackleton et al. (2019) GRL, 46(11), 5928-5936.",,,,,,,,,,
,,,,,,Spline of the MOT anomaly,,,,
Age,MOT_anomaly,MOT_abs,Error,Ice Core,Reference,age,std2_lo,Mean,std2_hi,std
,,,,,,6.23,-0.426201673,-0.014673606,0.387966545,0.407084109
,,,,,,6.24,-0.42790482,-0.015987113,0.388431817,0.408168319
,,,,,,6.25,-0.428187493,-0.017304261,0.388797812,0.408492653
,,,,,,6.26,-0.428891382,-0.018624941,0.386576551,0.407733967
,,,,,,6.27,-0.429071794,-0.019949041,0.382821151,0.405946473
,,,,,,6.28,-0.428934871,-0.02127645,0.380299519,0.404617195
,,,,,,6.29,-0.429654241,-0.022607058,0.381028932,0.405341586
,,,,,,6.3,-0.433153794,-0.023940755,0.378521916,0.405837855
,,,,,,6.31,-0.435598207,-0.025277429,0.377237677,0.406417942
,,,,,,6.32,-0.436232015,-0.026616969,0.377981663,0.407106839
,,,,,,6.33,-0.435881244,-0.027959266,0.375865493,0.405873368
,,,,,,6.34,-0.436887003,-0.029304208,0.374028594,0.405457798
,,,,,,6.35,-0.437028785,-0.030651685,0.373694355,0.40536157
,,,,,,6.36,-0.436937415,-0.032001586,0.375165512,0.406051463
,,,,,,6.37,-0.437393494,-0.0333538,0.37236769,0.404880592
,,,,,,6.38,-0.438879301,-0.034708217,0.372138164,0.405508733
,,,,,,6.39,-0.441152456,-0.036064726,0.372674245,0.40691335
,,,,,,6.4,-0.443398498,-0.037423216,0.371728882,0.40756369
,,,,,,6.41,-0.446483563,-0.038783577,0.369858711,0.408171137
,,,,,,6.42,-0.448879318,-0.040145697,0.367966006,0.408422662
,,,,,,6.43,-0.449924708,-0.041509467,0.363478047,0.406701378
,,,,,,6.44,-0.449773424,-0.042874775,0.360342644,0.405058034
,,,,,,6.45,-0.448655273,-0.044241512,0.359164627,0.40390995
,,,,,,6.46,-0.452511482,-0.045609565,0.358781035,0.405646258
,,,,,,6.47,-0.453187809,-0.046978825,0.357633024,0.405410417
,,,,,,6.48,-0.453509369,-0.04834918,0.357855232,0.4056823
,,,,,,6.49,-0.455240444,-0.04972052,0.358019452,0.406629948
,,,,,,6.5,-0.457551203,-0.051092735,0.35923891,0.408395056
,,,,,,6.51,-0.460547366,-0.052465714,0.358653984,0.409600675
,,,,,,6.52,-0.461893756,-0.053839345,0.35843015,0.410161953
,,,,,,6.53,-0.462503304,-0.055213519,0.357761673,0.410132489
,,,,,,6.54,-0.463258424,-0.056588125,0.357756285,0.410507355
,,,,,,6.55,-0.464119785,-0.057963051,0.356367668,0.410243726
,,,,,,6.56,-0.463866604,-0.059338187,0.352943227,0.408404916
,,,,,,6.57,-0.462192164,-0.060713423,0.350578209,0.406385186
,,,,,,6.58,-0.462201199,-0.062088648,0.350055053,0.406128126
,,,,,,6.59,-0.462182172,-0.063463751,0.346725443,0.404453807
,,,,,,6.6,-0.46408334,-0.064838622,0.345535898,0.404809619
,,,,,,6.61,-0.465680357,-0.066213149,0.344269438,0.404974898
,,,,,,6.62,-0.466653621,-0.067587223,0.342969841,0.404811731
,,,,,,6.63,-0.467217043,-0.068960731,0.341965676,0.404591359
,,,,,,6.64,-0.466533974,-0.070333565,0.342581107,0.404557541
,,,,,,6.65,-0.467919907,-0.071705612,0.340818955,0.404369431
,,,,,,6.66,-0.469675272,-0.073076763,0.340573632,0.405124452
,,,,,,6.67,-0.471258822,-0.074446906,0.33981157,0.405535196
,,,,,,6.68,-0.470577604,-0.075815932,0.339267217,0.404922411
,,,,,,6.69,-0.469827101,-0.077183728,0.336100082,0.402963592
,,,,,,6.7,-0.470022801,-0.078550185,0.336176378,0.403099589
,,,,,,6.71,-0.470632628,-0.079915192,0.333060124,0.401846376
,,,,,,6.72,-0.470958376,-0.081278639,0.330786559,0.400872467
,,,,,,6.73,-0.470512933,-0.082640413,0.329066876,0.399789905
,,,,,,6.74,-0.471040376,-0.084000406,0.327984369,0.399512372
,,,,,,6.75,-0.471468388,-0.085358505,0.326100013,0.3987842
,,,,,,6.76,-0.472717995,-0.086714601,0.323652396,0.398185196
,,,,,,6.77,-0.474082162,-0.088068583,0.321721146,0.397901654
,,,,,,6.78,-0.475528614,-0.08942034,0.318689721,0.397109167
,,,,,,6.79,-0.474646243,-0.090769761,0.315571338,0.395108791
,,,,,,6.8,-0.47588784,-0.092116735,0.31356678,0.39472731
,,,,,,6.81,-0.475323292,-0.093461153,0.311755257,0.393539274
,,,,,,6.82,-0.477024288,-0.094802903,0.308756878,0.392890583
,,,,,,6.83,-0.477503909,-0.096141874,0.304756338,0.391130123
,,,,,,6.84,-0.47976351,-0.097477957,0.301946539,0.390855024
,,,,,,6.85,-0.481813646,-0.098811039,0.300794442,0.391304044
,,,,,,6.86,-0.48341254,-0.100141011,0.29922696,0.39131975
,,,,,,6.87,-0.484156398,-0.101467762,0.297285701,0.39072105
,,,,,,6.88,-0.484186276,-0.102791181,0.293627331,0.388906803
,,,,,,6.89,-0.483900927,-0.104111158,0.292025391,0.387963159
,,,,,,6.9,-0.483122297,-0.105427581,0.288518801,0.385820549
,,,,,,6.91,-0.482279421,-0.10674034,0.28575136,0.38401539
,,,,,,6.92,-0.484097083,-0.108049325,0.283037558,0.38356732
,,,,,,6.93,-0.481610628,-0.109354424,0.280743382,0.381177005
,,,,,,6.94,-0.481206465,-0.110655527,0.278943964,0.380075215
,,,,,,6.95,-0.480788179,-0.111952524,0.278118584,0.379453381
,,,,,,6.96,-0.47937313,-0.113245303,0.275340712,0.377356921
,,,,,,6.97,-0.479428082,-0.114533754,0.270990387,0.375209235
,,,,,,6.98,-0.480020702,-0.115817743,0.266569167,0.373294935
,,,,,,6.99,-0.47779158,-0.117096903,0.263310164,0.370550872
,,,,,,7,-0.47768606,-0.118370726,0.261045492,0.369365776
,,,,,,7.01,-0.477153522,-0.119638703,0.258737144,0.367945333
,,,,,,7.02,-0.475383228,-0.120900326,0.25606502,0.365724124
,,,,,,7.03,-0.47654081,-0.122155085,0.253092109,0.36481646
,,,,,,7.04,-0.477311728,-0.123402473,0.248151276,0.362731502
,,,,,,7.05,-0.479010823,-0.12464198,0.243420125,0.361215474
,,,,,,7.06,-0.479134429,-0.125873097,0.237538006,0.358336218
,,,,,,7.07,-0.47929944,-0.127095316,0.235240892,0.357270166
,,,,,,7.08,-0.479080493,-0.128308128,0.228419754,0.353750123
,,,,,,7.09,-0.477306443,-0.129511025,0.223834676,0.350570559
,,,,,,7.1,-0.475272817,-0.130703497,0.221091185,0.348182001
,,,,,,7.11,-0.474813846,-0.131885036,0.216606351,0.345710098
,,,,,,7.12,-0.474714769,-0.133055133,0.214188061,0.344451415
,,,,,,7.13,-0.474707855,-0.134213279,0.212028128,0.343367992
,,,,,,7.14,-0.474722801,-0.135358965,0.209952286,0.342337543
,,,,,,7.15,-0.474004144,-0.136491683,0.205409145,0.339706644
,,,,,,7.16,-0.475670698,-0.137610924,0.204004431,0.339837565
,,,,,,7.17,-0.477497139,-0.13871618,0.202010442,0.339753791
,,,,,,7.18,-0.476604795,-0.13980694,0.199134006,0.337869401
,,,,,,7.19,-0.475658362,-0.140882698,0.198907851,0.337283107
,,,,,,7.2,-0.475277217,-0.141942943,0.196468496,0.335872856
,,,,,,7.21,-0.475772329,-0.142987167,0.195012699,0.335392514
,,,,,,7.22,-0.4735446,-0.144014862,0.193593365,0.333568983
,,,,,,7.23,-0.471436917,-0.145025518,0.191475692,0.331456305
,,,,,,7.24,-0.47123861,-0.146018627,0.18848093,0.32985977
,,,,,,7.25,-0.470160443,-0.146993681,0.187651221,0.328905832
,,,,,,7.26,-0.468785446,-0.147950169,0.182418899,0.325602173
,,,,,,7.27,-0.466272437,-0.148887585,0.179095727,0.322684082
,,,,,,7.28,-0.464596119,-0.149805418,0.176653766,0.320624942
,,,,,,7.29,-0.463890688,-0.15070316,0.173947644,0.318919166
,,,,,,7.3,-0.464574133,-0.151580302,0.170741004,0.317657568
,,,,,,7.31,-0.462792773,-0.152436336,0.16752756,0.315160167
,,,,,,7.32,-0.459752256,-0.153270752,0.165097899,0.312425078
,,,,,,7.33,-0.458489584,-0.154083043,0.163116784,0.310803184
,,,,,,7.34,-0.458640239,-0.154872699,0.163443495,0.311041867
,,,,,,7.35,-0.459839559,-0.155639211,0.163692093,0.311765826
,,,,,,7.36,-0.46366138,-0.156382071,0.164559948,0.314110664
,,,,,,7.37,-0.464692553,-0.15710077,0.161008346,0.312850449
,,,,,,7.38,-0.465860723,-0.157794799,0.1603798,0.313120262
,,,,,,7.39,-0.465398267,-0.15846365,0.157100947,0.311249607
,,,,,,7.4,-0.464960546,-0.159106813,0.15348821,0.309224378
,,,,,,7.41,-0.462722667,-0.15972378,0.149253064,0.305987865
,,,,,,7.42,-0.462173562,-0.160314043,0.150113926,0.306143744
,,,,,,7.43,-0.461195316,-0.160877092,0.148390953,0.304793134
,,,,,,7.44,-0.461325712,-0.161412418,0.144643707,0.302984709
,,,,,,7.45,-0.458078985,-0.161919513,0.144159225,0.301119105
,,,,,,7.46,-0.458257675,-0.162397868,0.141499644,0.29987866
,,,,,,7.47,-0.458440184,-0.162846975,0.138516988,0.298478586
,,,,,,7.48,-0.456331563,-0.163266324,0.138547666,0.297439615
,,,,,,7.49,-0.455265199,-0.163655408,0.136667177,0.295966188
,,,,,,7.5,-0.454280137,-0.164013716,0.135922359,0.295101248
,,,,,,7.51,-0.455242605,-0.16434074,0.133796051,0.294519328
,,,,,,7.52,-0.453807622,-0.164635972,0.131674085,0.292740853
,,,,,,7.53,-0.453614209,-0.164898903,0.130664993,0.292139601
,,,,,,7.54,-0.454782919,-0.165129024,0.13046199,0.292622454
,,,,,,7.55,-0.453634317,-0.165325826,0.130242095,0.291938206
,,,,,,7.56,-0.449294523,-0.1654888,0.128152287,0.288723405
,,,,,,7.57,-0.446591031,-0.165617438,0.125139515,0.285865273
,,,,,,7.58,-0.444790516,-0.165711232,0.123492843,0.28414168
,,,,,,7.59,-0.444906472,-0.165769671,0.122960547,0.283933509
,,,,,,7.6,-0.443081554,-0.165792248,0.121753323,0.282417439
,,,,,,7.61,-0.442779238,-0.165778453,0.12047464,0.281626939
,,,,,,7.62,-0.441964375,-0.165727779,0.119337559,0.280650967
,,,,,,7.63,-0.440377418,-0.165639716,0.119739148,0.280058283
,,,,,,7.64,-0.440095355,-0.165513755,0.118710758,0.279403056
,,,,,,7.65,-0.439318057,-0.165349387,0.118504253,0.278911155
,,,,,,7.66,-0.438341053,-0.165146105,0.115997143,0.277169098
,,,,,,7.67,-0.435419444,-0.164903399,0.115114461,0.275266953
,,,,,,7.68,-0.432713248,-0.16462076,0.113682232,0.27319774
,,,,,,7.69,-0.431278482,-0.164297679,0.115234291,0.273256386
,,,,,,7.7,-0.427411987,-0.163933649,0.114674472,0.27104323
,,,,,,7.71,-0.423911967,-0.163528159,0.115366442,0.269639205
,,,,,,7.72,-0.425001577,-0.163080702,0.113672952,0.269337265
,,,,,,7.73,-0.424305044,-0.162590769,0.113339189,0.268822116
,,,,,,7.74,-0.422344724,-0.162057976,0.113878391,0.268111558
,,,,,,7.75,-0.41981909,-0.161483241,0.112182998,0.266001044
,,,,,,7.76,-0.416959962,-0.160868249,0.107884516,0.262422239
,,,,,,7.77,-0.415027926,-0.160214693,0.105509982,0.260268954
,,,,,,7.78,-0.414821978,-0.159524268,0.10366652,0.259244249
,,,,,,7.79,-0.414828536,-0.158798669,0.105396129,0.260112332
,,,,,,7.8,-0.41315915,-0.158039588,0.106793599,0.259976374
,,,,,,7.81,-0.412147381,-0.157248722,0.104909055,0.258528218
,,,,,,7.82,-0.411797191,-0.156427763,0.103056819,0.257427005
,,,,,,7.83,-0.410183523,-0.155578406,0.103618527,0.256901025
,,,,,,7.84,-0.406797079,-0.154702346,0.103189461,0.25499327
,,,,,,7.85,-0.405635924,-0.153801277,0.101493671,0.253564797
,,,,,,7.86,-0.404056784,-0.152876892,0.103181346,0.253619065
,,,,,,7.87,-0.400850131,-0.151930887,0.103307412,0.252078772
,,,,,,7.88,-0.39810106,-0.150964955,0.103285585,0.250693323
,,,,,,7.89,-0.396475091,-0.14998079,0.102191822,0.249333457
,,,,,,7.9,-0.393188658,-0.148980088,0.101127164,0.247157911
,,,,,,7.91,-0.39011121,-0.147964542,0.101408406,0.245759808
,,,,,,7.92,-0.388715391,-0.146935846,0.099739558,0.244227475
,,,,,,7.93,-0.387101728,-0.145895714,0.100280314,0.243691021
,,,,,,7.94,-0.384821671,-0.144845965,0.102009822,0.243415746
,,,,,,7.95,-0.383447302,-0.143788452,0.102697381,0.243072341
,,,,,,7.96,-0.379570765,-0.14272503,0.101187349,0.240379057
,,,,,,7.97,-0.376099605,-0.141657551,0.099811892,0.237955748
,,,,,,7.98,-0.373596159,-0.14058787,0.101063551,0.237329855
,,,,,,7.99,-0.372344241,-0.13951784,0.102560178,0.237452209
,,,,,,8,-0.368805559,-0.138449316,0.102030469,0.235418014
,,,,,,8.01,-0.364562114,-0.137384151,0.101515584,0.233038849
,,,,,,8.02,-0.363196389,-0.136324199,0.100746645,0.231971517
,,,,,,8.03,-0.359352008,-0.135271314,0.099285797,0.229318903
,,,,,,8.04,-0.356939881,-0.134227349,0.096674976,0.226807429
,,,,,,8.05,-0.354856402,-0.133194159,0.095475148,0.225165775
,,,,,,8.06,-0.352941169,-0.132173596,0.095494115,0.224217642
,,,,,,8.07,-0.351202234,-0.131167516,0.095230176,0.223216205
,,,,,,8.08,-0.349387763,-0.130177771,0.094968313,0.222178038
,,,,,,8.09,-0.345119428,-0.129206216,0.097006072,0.22106275
,,,,,,8.1,-0.342418768,-0.128254705,0.096573962,0.219496365
,,,,,,8.11,-0.341262051,-0.12732509,0.096077913,0.218669982
,,,,,,8.12,-0.338320248,-0.126419227,0.095222338,0.216771293
,,,,,,8.13,-0.336358964,-0.125538968,0.094163039,0.215261001
,,,,,,8.14,-0.334099272,-0.124686168,0.095657309,0.214878291
,,,,,,8.15,-0.330766931,-0.12386268,0.097517724,0.214142327
,,,,,,8.16,-0.328049005,-0.123070358,0.096041077,0.212045041
,,,,,,8.17,-0.327124735,-0.122311056,0.094348011,0.210736373
,,,,,,8.18,-0.322682849,-0.121586628,0.094558262,0.208620555
,,,,,,8.19,-0.321248834,-0.120898928,0.09372382,0.207486327
,,,,,,8.2,-0.321751891,-0.120249809,0.092017179,0.206884535
,,,,,,8.21,-0.321162251,-0.119641125,0.091406775,0.206284513
,,,,,,8.22,-0.320063444,-0.11907473,0.089890402,0.204976923
,,,,,,8.23,-0.318211985,-0.118552478,0.08872523,0.203468608
,,,,,,8.24,-0.315694614,-0.118076223,0.087914774,0.201804694
,,,,,,8.25,-0.315160221,-0.117647818,0.085949114,0.200554668
,,,,,,8.26,-0.313672062,-0.117269117,0.083547681,0.198609872
,,,,,,8.27,-0.312842987,-0.116941927,0.083459812,0.198151399
,,,,,,8.28,-0.311967509,-0.116666684,0.083507434,0.197737471
,,,,,,8.29,-0.310909855,-0.116442257,0.083424656,0.197167255
,,,,,,8.3,-0.309463558,-0.116267431,0.081450324,0.195456941
,,,,,,8.31,-0.307667009,-0.116140992,0.079758897,0.193712953
,,,,,,8.32,-0.305503867,-0.116061725,0.077821877,0.191662872
,,,,,,8.33,-0.304092983,-0.116028416,0.0753943,0.189743641
,,,,,,8.34,-0.300078374,-0.11603985,0.07454072,0.187309547
,,,,,,8.35,-0.298883689,-0.116094812,0.072767797,0.185825743
,,,,,,8.36,-0.29733464,-0.116192088,0.072476889,0.184905765
,,,,,,8.37,-0.294446342,-0.116330462,0.071675225,0.183060784
,,,,,,8.38,-0.293267316,-0.116508721,0.069506564,0.18138694
,,,,,,8.39,-0.291689648,-0.116725649,0.068806594,0.180248121
,,,,,,8.4,-0.290844055,-0.116980032,0.068271716,0.179557885
,,,,,,8.41,-0.290600416,-0.117270655,0.067220803,0.178910609
,,,,,,8.42,-0.29253689,-0.117596303,0.067482678,0.180009784
,,,,,,8.43,-0.294915661,-0.117955762,0.065609003,0.180262332
,,,,,,8.44,-0.296427524,-0.118347817,0.063578198,0.180002861
,,,,,,8.45,-0.296975806,-0.118771253,0.060973112,0.178974459
,,,,,,8.46,-0.296143509,-0.119224856,0.060672491,0.178408
,,,,,,8.47,-0.296083287,-0.119707412,0.061435958,0.178759622
,,,,,,8.48,-0.294249278,-0.120217704,0.060242751,0.177246014
,,,,,,8.49,-0.296052836,-0.120754519,0.059082873,0.177567855
,,,,,,8.5,-0.296646502,-0.121316642,0.055879901,0.176263202
,,,,,,8.51,-0.29731121,-0.121902858,0.051652289,0.17448175
,,,,,,8.52,-0.29773979,-0.122511944,0.051932956,0.174836373
,,,,,,8.53,-0.29818988,-0.12314244,0.052049611,0.175119745
,,,,,,8.54,-0.297520309,-0.123792632,0.051313009,0.174416659
,,,,,,8.55,-0.298598249,-0.12446079,0.050057685,0.174327967
,,,,,,8.56,-0.299330986,-0.125145188,0.049651183,0.174491084
,,,,,,8.57,-0.300017371,-0.125844099,0.048355191,0.174186281
,,,,,,8.58,-0.301283892,-0.126555793,0.047249669,0.174266781
,,,,,,8.59,-0.300760361,-0.127278545,0.04638585,0.173573106
,,,,,,8.6,-0.300984376,-0.128010625,0.045685472,0.173334924
,,,,,,8.61,-0.301186604,-0.128750306,0.045045425,0.173116015
,,,,,,8.62,-0.301377757,-0.129495861,0.042580639,0.171979198
,,,,,,8.63,-0.300816157,-0.130245562,0.043317305,0.172066731
,,,,,,8.64,-0.302016531,-0.130997681,0.041801402,0.171908967
,,,,,,8.65,-0.300920512,-0.131750491,0.042302584,0.171611548
,,,,,,8.66,-0.302529362,-0.132502263,0.041288584,0.171908973
,,,,,,8.67,-0.302497098,-0.133251271,0.040204341,0.171350719
,,,,,,8.68,-0.301672094,-0.133995786,0.038360008,0.170016051
,,,,,,8.69,-0.301616342,-0.13473408,0.037337642,0.169476992
,,,,,,8.7,-0.301300764,-0.135464427,0.035261927,0.168281346
,,,,,,8.71,-0.299581383,-0.136185098,0.03293182,0.166256602
,,,,,,8.72,-0.301548492,-0.136894365,0.031450527,0.166499509
,,,,,,8.73,-0.302991003,-0.137590502,0.029052178,0.166021591
,,,,,,8.74,-0.305992966,-0.13827178,0.030348889,0.168170927
,,,,,,8.75,-0.306667979,-0.138936471,0.031801183,0.169234581
,,,,,,8.76,-0.307898119,-0.139582849,0.033058211,0.170478165
,,,,,,8.77,-0.310413858,-0.140209184,0.033063528,0.171738693
,,,,,,8.78,-0.313443769,-0.14081375,0.032544094,0.172993931
,,,,,,8.79,-0.315168037,-0.14139482,0.032296738,0.173732388
,,,,,,8.8,-0.316704888,-0.141951201,0.033034929,0.174869909
,,,,,,8.81,-0.320120093,-0.142483158,0.033585444,0.176852768
,,,,,,8.82,-0.320853776,-0.142991201,0.033272639,0.177063208
,,,,,,8.83,-0.323866417,-0.143475839,0.03337603,0.178621223
,,,,,,8.84,-0.326650144,-0.143937583,0.032169162,0.179409653
,,,,,,8.85,-0.32911133,-0.144376943,0.032342377,0.180726853
,,,,,,8.86,-0.330695972,-0.144794428,0.035101024,0.182898498
,,,,,,8.87,-0.331137614,-0.145190548,0.035362355,0.183249984
,,,,,,8.88,-0.332528273,-0.145565813,0.037003059,0.184765666
,,,,,,8.89,-0.333017177,-0.145920734,0.037701412,0.185359294
,,,,,,8.9,-0.333322293,-0.146255819,0.039746459,0.186534376
,,,,,,8.91,-0.333745592,-0.146571579,0.041624015,0.187684803
,,,,,,8.92,-0.334575775,-0.146868524,0.042090414,0.188333094
,,,,,,8.93,-0.336765621,-0.147147163,0.041531215,0.189148418
,,,,,,8.94,-0.337116231,-0.147408007,0.041722974,0.189419602
,,,,,,8.95,-0.338060768,-0.147651565,0.042441478,0.190251123
,,,,,,8.96,-0.338868327,-0.147878348,0.042646753,0.19075754
,,,,,,8.97,-0.340288308,-0.148088865,0.044052981,0.192170645
,,,,,,8.98,-0.343560523,-0.148283626,0.044727541,0.194144032
,,,,,,8.99,-0.34351057,-0.14846314,0.04573431,0.19462244
,,,,,,9,-0.343003501,-0.148627919,0.045828599,0.19441605
,,,,,,9.01,-0.342524622,-0.148778471,0.046273166,0.194398894
,,,,,,9.02,-0.342121168,-0.148915307,0.045313505,0.193717336
,,,,,,9.03,-0.342570018,-0.149038936,0.04686226,0.194716139
,,,,,,9.04,-0.344853963,-0.149149671,0.046883555,0.195868759
,,,,,,9.05,-0.346237797,-0.149247032,0.047881684,0.197059741
,,,,,,9.06,-0.34709059,-0.14933034,0.047838866,0.197464728
,,,,,,9.07,-0.347586,-0.149398919,0.049191977,0.198388989
,,,,,,9.08,-0.350011873,-0.14945209,0.049288322,0.199650097
,,,,,,9.09,-0.351090366,-0.149489176,0.049282639,0.200186503
,,,,,,9.1,-0.35260026,-0.149509498,0.048541484,0.200570872
,,,,,,9.11,-0.35389605,-0.14951238,0.050365783,0.202130917
,,,,,,9.12,-0.353723622,-0.149497142,0.05017184,0.201947731
,,,,,,9.13,-0.354714008,-0.149463109,0.050392434,0.202553221
,,,,,,9.14,-0.354841135,-0.149409601,0.050544945,0.20269304
,,,,,,9.15,-0.3533903,-0.149335941,0.051129326,0.202259813
,,,,,,9.16,-0.352336234,-0.149241452,0.049235893,0.200786063
,,,,,,9.17,-0.350974123,-0.149125455,0.05051527,0.200744697
,,,,,,9.18,-0.349855445,-0.148987273,0.052772073,0.201313759
,,,,,,9.19,-0.349137965,-0.148826228,0.052990198,0.201064081
,,,,,,9.2,-0.349197921,-0.148641642,0.052471042,0.200834482
,,,,,,9.21,-0.348752827,-0.148432838,0.055253734,0.202003281
,,,,,,9.22,-0.34758353,-0.148199137,0.057197747,0.202390639
,,,,,,9.23,-0.346536548,-0.147939863,0.057745423,0.202140985
,,,,,,9.24,-0.345769488,-0.147654336,0.058051937,0.201910713
,,,,,,9.25,-0.344705513,-0.14734188,0.056634612,0.200670062
,,,,,,9.26,-0.345716963,-0.147001817,0.057804017,0.20176049
,,,,,,9.27,-0.344328379,-0.146633469,0.057322784,0.200825582
,,,,,,9.28,-0.344176817,-0.146236158,0.056155096,0.200165957
,,,,,,9.29,-0.344165604,-0.145809206,0.056731379,0.200448491
,,,,,,9.3,-0.343340613,-0.145351936,0.058336576,0.200838595
,,,,,,9.31,-0.342366347,-0.14486367,0.059543638,0.200954992
,,,,,,9.32,-0.340618717,-0.14434373,0.060126843,0.20037278
,,,,,,9.33,-0.34009461,-0.143791438,0.057379932,0.198737271
,,,,,,9.34,-0.341113692,-0.143206117,0.055751403,0.198432547
,,,,,,9.35,-0.339582611,-0.142587085,0.057928397,0.198755504
,,,,,,9.36,-0.33749374,-0.141933533,0.059447524,0.198470632
,,,,,,9.37,-0.336099429,-0.141244482,0.061363179,0.198731304
,,,,,,9.38,-0.336104078,-0.140518944,0.059735082,0.19791958
,,,,,,9.39,-0.333961194,-0.139755929,0.060375177,0.197168186
,,,,,,9.4,-0.333158104,-0.138954448,0.059827238,0.196492671
,,,,,,9.41,-0.330879282,-0.138113512,0.060803396,0.195841339
,,,,,,9.42,-0.32976599,-0.137232132,0.06270408,0.196235035
,,,,,,9.43,-0.328588163,-0.136309319,0.06423471,0.196411437
,,,,,,9.44,-0.32854397,-0.135344083,0.066101927,0.197322949
,,,,,,9.45,-0.327918952,-0.134335436,0.066275636,0.197097294
,,,,,,9.46,-0.328297494,-0.133282388,0.067894002,0.198095748
,,,,,,9.47,-0.328638663,-0.132183951,0.067458503,0.198048583
,,,,,,9.48,-0.329843221,-0.131039136,0.070603351,0.200223286
,,,,,,9.49,-0.328007824,-0.129846952,0.073733306,0.200870565
,,,,,,9.5,-0.327221286,-0.128606411,0.076634823,0.201928055
,,,,,,9.51,-0.326371645,-0.127316525,0.074388339,0.200379992
,,,,,,9.52,-0.32358601,-0.125976303,0.073339198,0.198462604
,,,,,,9.53,-0.319952487,-0.124584757,0.075759096,0.197855791
,,,,,,9.54,-0.31952575,-0.123140897,0.07725796,0.198391855
,,,,,,9.55,-0.31677969,-0.121643735,0.077913525,0.197346608
,,,,,,9.56,-0.315017551,-0.120092282,0.077376609,0.19619708
,,,,,,9.57,-0.314244129,-0.118485548,0.075713425,0.194978777
,,,,,,9.58,-0.313997267,-0.116822544,0.075095719,0.194546493
,,,,,,9.59,-0.311729517,-0.115102281,0.076791408,0.194260463
,,,,,,9.6,-0.310633368,-0.113324238,0.078027261,0.194330314
,,,,,,9.61,-0.309446983,-0.111490348,0.080527155,0.194987069
,,,,,,9.62,-0.306104743,-0.109603348,0.083030963,0.194567853
,,,,,,9.63,-0.304020364,-0.107665973,0.088204892,0.196112628
,,,,,,9.64,-0.300000371,-0.10568096,0.090080861,0.195040616
,,,,,,9.65,-0.296962582,-0.103651046,0.091963682,0.194463132
,,,,,,9.66,-0.295334001,-0.101578965,0.095098503,0.195216252
,,,,,,9.67,-0.291704682,-0.099467456,0.095514385,0.193609533
,,,,,,9.68,-0.289630044,-0.097319254,0.095601226,0.192615635
,,,,,,9.69,-0.28876196,-0.095137095,0.098744559,0.193753259
,,,,,,9.7,-0.28661615,-0.092923715,0.100467391,0.193541771
,,,,,,9.71,-0.282393078,-0.090681852,0.10367396,0.193033519
,,,,,,9.72,-0.279177399,-0.088414241,0.103810583,0.191493991
,,,,,,9.73,-0.277778264,-0.086123618,0.10458728,0.191182772
,,,,,,9.74,-0.274493715,-0.083812721,0.103539099,0.189016407
,,,,,,9.75,-0.272646685,-0.081484284,0.105075818,0.188861251
,,,,,,9.76,-0.270039982,-0.079141045,0.10688451,0.188462246
,,,,,,9.77,-0.266689194,-0.076785739,0.10829741,0.187493302
,,,,,,9.78,-0.263312647,-0.074421104,0.110340037,0.186826342
,,,,,,9.79,-0.259341036,-0.072049875,0.110976995,0.185159016
,,,,,,9.8,-0.255132546,-0.069674788,0.111865308,0.183498927
,,,,,,9.81,-0.254182716,-0.067298581,0.113506466,0.183844591
,,,,,,9.82,-0.251610338,-0.064923988,0.114926619,0.183268478
,,,,,,9.83,-0.247596203,-0.062553747,0.116994438,0.182295321
,,,,,,9.84,-0.245651195,-0.060190594,0.11792512,0.181788157
,,,,,,9.85,-0.243629301,-0.057837265,0.119798436,0.181713868
,,,,,,9.86,-0.243128104,-0.055496482,0.120746906,0.181937505
,,,,,,9.87,-0.239690728,-0.05317073,0.122846685,0.181268706
,,,,,,9.88,-0.236563084,-0.050862304,0.12512609,0.180844587
,,,,,,9.89,-0.233238479,-0.048573492,0.125388106,0.179313293
,,,,,,9.9,-0.230077164,-0.046306584,0.126961476,0.17851932
,,,,,,9.91,-0.227076038,-0.044063867,0.130550424,0.178813231
,,,,,,9.92,-0.225906346,-0.041847631,0.133560433,0.179733389
,,,,,,9.93,-0.22372561,-0.039660164,0.135054302,0.179389956
,,,,,,9.94,-0.219500748,-0.037503755,0.138006291,0.178753519
,,,,,,9.95,-0.216569532,-0.035380692,0.141609256,0.179089394
,,,,,,9.96,-0.212303961,-0.033293264,0.143141219,0.17772259
,,,,,,9.97,-0.210358173,-0.031243761,0.143806196,0.177082184
,,,,,,9.98,-0.209478392,-0.02923447,0.144943404,0.177210898
,,,,,,9.99,-0.208590362,-0.027267734,0.144583344,0.176586853
,,,,,,10,-0.205610846,-0.025346118,0.145457975,0.175534411
,,,,,,10.01,-0.201953138,-0.023472238,0.147474879,0.174714008
