Region	Site	Reference	Indicator	Latitude (¡N)	Longitude (¡E)	RSL (m)	RSL +1s	RSL -1s	Age (CE)	Age +2s	Age -2s
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.09	0.1	0.1	1989	6	6
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.1	0.09	0.09	1986	6	5
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.17	0.14	0.14	1984	6	3
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.15	0.11	0.11	1981	5	2
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.18	0.11	0.11	1978	2	2
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.13	0.1	0.1	1977	2	4
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.19	0.09	0.09	1974	1	7
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.22	0.11	0.11	1973	2	10
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.21	0.1	0.1	1972	3	12
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.23	0.09	0.09	1970	3	14
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.22	0.09	0.09	1967	2	13
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.24	0.09	0.09	1962	5	10
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.28	0.14	0.14	1956	8	12
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.3	0.15	0.15	1947	9	10
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.29	0.14	0.14	1941	8	9
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.29	0.21	0.21	1938	2	10
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.37	0.13	0.13	1930	4	13
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.32	0.13	0.13	1926	2	23
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.41	0.15	0.15	1924	2	26
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.41	0.14	0.14	1923	2	27
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.56	0.08	0.08	1912	10	20
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.52	0.11	0.11	1905	14	16
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.38	0.14	0.14	1896	8	13
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.4	0.14	0.14	1890	5	12
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.46	0.13	0.13	1883	6	10
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.44	0.13	0.13	1878	8	9
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.54	0.16	0.16	1875	4	8
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.53	0.15	0.15	1869	4	9
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.51	0.15	0.15	1863	8	8
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.62	0.12	0.12	1859	9	6
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.63	0.11	0.11	1843	15	45
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.66	0.11	0.11	1759	89	0
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.58	0.12	0.12	1750	91	11
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.79	0.09	0.09	1741	93	6
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.75	0.13	0.13	1729	75	22
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.79	0.11	0.11	1724	35	29
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.89	0.09	0.09	1708	14	31
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.9	0.11	0.11	1680	29	15
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.89	0.13	0.13	1661	12	12
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.89	0.16	0.16	1647	13	16
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.96	0.09	0.09	1622	17	37
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.97	0.09	0.09	1604	29	31
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-0.97	0.11	0.11	1587	37	23
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.1	0.13	0.13	1538	32	43
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.14	0.1	0.1	1525	36	44
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.1	0.13	0.13	1506	44	39
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.38	0.15	0.15	1320	50	45
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.48	0.09	0.09	1312	52	40
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.49	0.12	0.12	1285	48	31
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.43	0.12	0.12	1265	11	31
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.37	0.19	0.19	1248	17	36
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.49	0.1	0.1	1227	30	30
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.32	0.17	0.17	1205	33	25
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.33	0.24	0.24	1187	20	33
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.32	0.15	0.15	1167	23	49
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.53	0.16	0.16	1142	39	54
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.56	0.17	0.17	1118	50	48
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.44	0.27	0.27	1101	54	39
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.59	0.1	0.1	1051	51	23
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.56	0.15	0.15	1033	41	34
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.7	0.1	0.1	1021	38	32
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.7	0.1	0.1	1003	36	25
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.65	0.24	0.24	991	32	25
New Jersey	Cape May Courthouse	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.086	-74.812	-1.65	0.19	0.19	977	16	32
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.16	0.13	0.13	1449	34	6
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.18	0.11	0.11	1431	29	50
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.32	0.17	0.17	1309	50	96
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.42	0.14	0.14	1268	68	109
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.53	0.12	0.12	1166	113	99
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.67	0.15	0.15	1009	65	26
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.63	0.15	0.15	997	48	21
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.71	0.15	0.15	971	33	42
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.76	0.13	0.13	954	22	51
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.81	0.12	0.12	914	39	52
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.79	0.17	0.17	890	28	65
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.75	0.13	0.13	873	17	65
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.89	0.15	0.15	844	38	57
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.86	0.12	0.12	818	49	48
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.89	0.17	0.17	802	51	47
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-1.94	0.13	0.13	785	46	42
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.05	0.13	0.13	774	29	43
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2	0.13	0.13	761	13	40
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.02	0.18	0.18	734	28	31
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2	0.16	0.16	721	28	30
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.04	0.13	0.13	710	26	30
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.07	0.12	0.12	700	23	26
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.1	0.11	0.11	676	29	9
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.12	0.11	0.11	664	19	15
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.14	0.1	0.1	631	26	38
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.19	0.11	0.11	589	43	12
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.22	0.12	0.12	577	28	12
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.22	0.13	0.13	573	19	19
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.23	0.12	0.12	569	18	27
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.33	0.12	0.12	563	15	39
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.38	0.14	0.14	556	15	51
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.36	0.11	0.11	554	15	56
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.44	0.12	0.12	549	12	66
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.49	0.13	0.13	547	8	73
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.45	0.1	0.1	531	13	65
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.47	0.13	0.13	509	29	52
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.5	0.09	0.09	488	42	38
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.52	0.1	0.1	467	50	22
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.57	0.11	0.11	459	51	17
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.58	0.16	0.16	451	49	12
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.66	0.12	0.12	443	42	15
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.44	0.12	0.12	425	29	31
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.53	0.12	0.12	412	27	33
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.48	0.11	0.11	407	29	35
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.61	0.17	0.17	394	30	42
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.73	0.14	0.14	337	36	40
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-2.81	0.16	0.16	305	47	36
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.07	0.15	0.15	134	60	31
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.42	0.07	0.07	59	48	113
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.46	0.08	0.08	4	79	125
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.49	0.06	0.06	-28	99	124
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.62	0.15	0.15	-49	109	116
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.61	0.09	0.09	-102	124	94
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.7	0.15	0.15	-156	123	58
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.65	0.06	0.06	-224	55	6
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.81	0.15	0.15	-253	45	18
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.75	0.04	0.04	-274	44	24
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.81	0.05	0.05	-293	39	36
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.9	0.07	0.07	-303	39	34
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.85	0.05	0.05	-310	40	32
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.95	0.08	0.08	-321	41	27
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.93	0.09	0.09	-328	43	25
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.98	0.07	0.07	-339	44	23
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-3.95	0.08	0.08	-347	41	23
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-4.03	0.07	0.07	-393	29	45
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-4.05	0.07	0.07	-425	12	73
New Jersey	Leeds Point	"Kemp et al. (2013), Cahill et al. (2016)"	"foraminifera, ?13C"	39.496	-74.418	-4.19	0.17	0.17	-441	19	89
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.14	0.11	0.11	1994	12	14
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.25	0.12	0.12	1986	14	11
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.18	0.1	0.1	1973	12	8
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	0	0.06	0.06	1965	3	3
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.01	0.08	0.08	1963	3	2
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.04	0.06	0.06	1956	4	4
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.05	0.06	0.06	1954	4	5
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.08	0.05	0.05	1952	5	8
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.09	0.06	0.06	1949	6	10
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.11	0.06	0.06	1943	9	10
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.12	0.06	0.06	1938	9	8
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.17	0.06	0.06	1935	8	8
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.16	0.06	0.06	1932	8	9
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.2	0.05	0.05	1925	10	12
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.16	0.11	0.11	1919	11	14
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.23	0.06	0.06	1912	11	13
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.23	0.07	0.07	1907	11	20
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.26	0.08	0.08	1905	11	29
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.29	0.06	0.06	1902	13	36
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.29	0.07	0.07	1874	32	26
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.36	0.04	0.04	1860	33	20
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.37	0.04	0.04	1852	26	18
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.39	0.04	0.04	1845	21	16
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.41	0.04	0.04	1838	19	13
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.43	0.04	0.04	1831	16	11
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.46	0.04	0.04	1813	17	48
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.45	0.06	0.06	1789	31	58
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.49	0.04	0.04	1766	44	57
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.53	0.03	0.03	1744	46	56
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.55	0.04	0.04	1704	58	43
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.57	0.04	0.04	1659	52	40
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.59	0.04	0.04	1644	50	38
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.62	0.02	0.02	1629	44	35
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.28	0.14	0.14	1609	29	32
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.73	0.08	0.08	1580	31	35
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.96	0.23	0.23	1556	34	36
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.92	0.17	0.17	1543	32	36
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.89	0.17	0.17	1533	31	39
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.88	0.14	0.14	1518	32	52
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.04	0.21	0.21	1495	42	64
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.05	0.18	0.18	1472	53	69
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.08	0.16	0.16	1450	60	70
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.06	0.1	0.1	1430	63	83
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.05	0.17	0.17	1408	57	92
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-0.97	0.18	0.18	1387	46	94
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.11	0.14	0.14	1374	25	93
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.05	0.16	0.16	1363	14	85
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.22	0.11	0.11	1345	26	69
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.22	0.15	0.15	1294	35	22
New York	Pelham Bay	Kemp et al. (2017)	"foraminifera, ?13C"	40.87	-73.808	-1.18	0.15	0.15	1258	27	82
