ID,Latitude,Longitude,Year (CE),RSL (mm),RSL std (mm)
8.0,53.898889,11.458056,1935.0,-97.35440595612272,2.8058540389521442
8.0,53.898889,11.458056,1945.0,-82.79254398201374,2.805854032463545
8.0,53.898889,11.458056,1955.0,-68.21288398983052,2.8058540343743967
8.0,53.898889,11.458056,1965.0,-51.59633896813739,2.8058540309560693
8.0,53.898889,11.458056,1975.0,-45.1028886361446,2.8058540304835424
8.0,53.898889,11.458056,1985.0,-6.805913001399858,2.805854032714791
8.0,53.898889,11.458056,1995.0,-19.112296671582953,2.80585403637284
8.0,53.898889,11.458056,2005.0,12.35391319691189,2.805854033341754
9.0,51.9175,4.249722,1845.0,-378.10412780822753,92.59943991021376
9.0,51.9175,4.249722,1855.0,-257.55157209961453,2.7969514422383384
9.0,51.9175,4.249722,1865.0,-189.48971851332863,2.796951379721769
9.0,51.9175,4.249722,1875.0,-208.58442072387152,2.796951379777266
9.0,51.9175,4.249722,1885.0,-224.8854252907895,2.7969513791251845
9.0,51.9175,4.249722,1895.0,-184.68983283342368,2.796951382984489
9.0,51.9175,4.249722,1905.0,-169.13616574393836,2.79695138095425
9.0,51.9175,4.249722,1915.0,-102.62084783975843,2.796951380623584
9.0,51.9175,4.249722,1925.0,-131.43279673812958,2.7969513775828494
9.0,51.9175,4.249722,1935.0,-130.63324943804946,2.796951378299677
9.0,51.9175,4.249722,1945.0,-105.8369266783211,2.796951381097615
9.0,51.9175,4.249722,1955.0,-94.56186176650772,2.796951379957629
9.0,51.9175,4.249722,1965.0,-61.37382267445264,2.7969513776892176
9.0,51.9175,4.249722,1975.0,-62.138932684628344,2.796951387255391
9.0,51.9175,4.249722,1985.0,-0.5273035770351271,2.796951378676589
9.0,51.9175,4.249722,1995.0,-17.84786877267561,2.79695137822337
9.0,51.9175,4.249722,2005.0,15.172658281967415,2.796951378325113
9.0,51.9175,4.249722,2015.0,32.92654057771142,2.7970318899560995
10.0,37.806667,-122.465,1855.0,-98.8435714128018,31.49774470886128
10.0,37.806667,-122.465,1865.0,-196.90682847756761,2.8025292432933457
10.0,37.806667,-122.465,1875.0,-151.90117288381043,2.8025292468611167
10.0,37.806667,-122.465,1885.0,-129.31599623165857,2.802529244521065
10.0,37.806667,-122.465,1895.0,-168.6922881704304,2.8025292462264875
10.0,37.806667,-122.465,1905.0,-158.90901307404783,2.802529245654167
10.0,37.806667,-122.465,1915.0,-145.83524591947662,2.8025292432725757
10.0,37.806667,-122.465,1925.0,-157.89239945195732,2.8025292467918845
10.0,37.806667,-122.465,1935.0,-126.26697091415826,2.8025292443133676
10.0,37.806667,-122.465,1945.0,-97.96274822804935,2.802529240971756
10.0,37.806667,-122.465,1955.0,-69.50238136946791,2.8025292491550133
10.0,37.806667,-122.465,1965.0,-50.500842908023515,2.8025292426264077
10.0,37.806667,-122.465,1975.0,-54.02990002203205,2.802529249660409
10.0,37.806667,-122.465,1985.0,2.039408784033185,2.8025292475880565
10.0,37.806667,-122.465,1995.0,18.85339041636962,2.802529249877337
10.0,37.806667,-122.465,2005.0,1.0058150278455287,2.802543060841892
10.0,37.806667,-122.465,2015.0,48.71167337030056,3.3872459626837883
11.0,54.169722,12.103333,1855.0,-102.36115772257835,49.134079817412335
11.0,54.169722,12.103333,1865.0,-149.5790677424684,2.8092037917404653
11.0,54.169722,12.103333,1875.0,-147.69918802416487,2.8092037904535014
11.0,54.169722,12.103333,1885.0,-164.85727766166383,2.8092037865603796
11.0,54.169722,12.103333,1895.0,-128.32458778202454,2.8092037875802807
11.0,54.169722,12.103333,1905.0,-129.3948065119721,2.809203788501185
11.0,54.169722,12.103333,1915.0,-112.44220965590011,2.809203789852612
11.0,54.169722,12.103333,1925.0,-86.19723209047424,2.8092037864475685
11.0,54.169722,12.103333,1935.0,-90.04055444513324,2.809203787483586
11.0,54.169722,12.103333,1945.0,-79.7431479935849,2.809203787773671
11.0,54.169722,12.103333,1955.0,-63.36632142729377,2.8092037911856207
11.0,54.169722,12.103333,1965.0,-46.054437845305074,2.809203786564984
11.0,54.169722,12.103333,1975.0,-50.27197902025546,2.8092037881420326
11.0,54.169722,12.103333,1985.0,-8.185789561169258,2.8092037865949138
11.0,54.169722,12.103333,1995.0,-26.87449557398213,2.809203791609236
11.0,54.169722,12.103333,2005.0,31.083143953727813,2.809203789357626
11.0,54.169722,12.103333,2015.0,25.294541687291712,2.8092929010589844
12.0,40.7,-74.013333,1855.0,-494.4846061070011,40.62349999766934
12.0,40.7,-74.013333,1865.0,-379.9477336441023,3.1847214907145105
12.0,40.7,-74.013333,1875.0,-357.3080465292478,4.300507431673324
12.0,40.7,-74.013333,1885.0,-257.54602012108626,81.67849304875564
12.0,40.7,-74.013333,1895.0,-299.1917216847587,7.888504720804771
12.0,40.7,-74.013333,1905.0,-276.5891850790531,2.734393513974928
12.0,40.7,-74.013333,1915.0,-260.9742748502849,2.73439351203779
12.0,40.7,-74.013333,1925.0,-243.77814097003284,2.7343935139157964
12.0,40.7,-74.013333,1935.0,-204.35620302259395,2.7343935113069286
12.0,40.7,-74.013333,1945.0,-155.32772401113925,2.734393515320754
12.0,40.7,-74.013333,1955.0,-124.22816185702322,2.7343935120496163
12.0,40.7,-74.013333,1965.0,-102.91673587425521,2.734393514379385
12.0,40.7,-74.013333,1975.0,-76.6088997626448,2.734393517373789
12.0,40.7,-74.013333,1985.0,-62.73772591327361,2.734395631252577
12.0,40.7,-74.013333,1995.0,-0.2613602245955917,4.162015717962813
12.0,40.7,-74.013333,2005.0,8.563126344681223,3.1847288269033225
12.0,40.7,-74.013333,2015.0,64.40913313663987,2.734395130558685
15.0,53.4,-3.0,1855.0,-488.3452641939266,94.83346407598714
15.0,53.4,-3.0,1865.0,-143.24403766661362,5.361069299536627
15.0,53.4,-3.0,1875.0,-200.51093285248862,13.226430230892692
15.0,53.4,-3.0,1885.0,-148.56443611018403,7.482840407824028
15.0,53.4,-3.0,1895.0,-109.0558940171777,4.783820438818745
15.0,53.4,-3.0,1905.0,-174.3158726957099,83.02933447743271
15.0,53.4,-3.0,1915.0,-181.12192550366672,70.72458335974969
15.0,53.4,-3.0,1925.0,-60.313875714782625,22.907737010036545
15.0,53.4,-3.0,1935.0,-98.36422320944894,9.161564387387294
15.0,53.4,-3.0,1945.0,-85.86963836447194,6.651289122362802
15.0,53.4,-3.0,1955.0,-64.9971580808824,9.29065922950331
15.0,53.4,-3.0,1965.0,-27.373763287844668,3.4160309505691964
15.0,53.4,-3.0,1975.0,-13.732550323161377,7.099993234494793
20.0,51.442222,3.596111,1865.0,-103.30701415383191,4.837864571849085
20.0,51.442222,3.596111,1875.0,-100.16055781730756,2.7935111160869006
20.0,51.442222,3.596111,1885.0,-187.84298730774844,2.793511115142301
20.0,51.442222,3.596111,1895.0,-211.85207243056448,2.7935111135124053
20.0,51.442222,3.596111,1905.0,-192.83796786107905,2.7935111144338527
20.0,51.442222,3.596111,1915.0,-161.95269391794136,2.7935111131697568
20.0,51.442222,3.596111,1925.0,-144.73071657660694,2.7935111174250817
20.0,51.442222,3.596111,1935.0,-106.29492466058218,2.793511113936086
20.0,51.442222,3.596111,1945.0,-94.06674214190843,2.7935111162883226
20.0,51.442222,3.596111,1955.0,-63.60089552739373,2.793511114915413
20.0,51.442222,3.596111,1965.0,-44.85385506294642,2.793511114547297
20.0,51.442222,3.596111,1975.0,-62.36414131542733,2.79351111692037
20.0,51.442222,3.596111,1985.0,-13.110821664188734,2.7935111123710152
20.0,51.442222,3.596111,1995.0,-16.71355747206144,2.7935111122158975
20.0,51.442222,3.596111,2005.0,41.1600421623898,2.793511114318093
20.0,51.442222,3.596111,2015.0,50.1553623475711,2.7935891294706483
21.0,57.15,-2.083333,1865.0,-44.0990112160398,4.940019884650464
21.0,57.15,-2.083333,1875.0,-53.998828992871495,2.8070824042358
21.0,57.15,-2.083333,1885.0,-86.43605592671247,2.807082404922392
21.0,57.15,-2.083333,1895.0,-91.49667897322252,2.807082405671192
21.0,57.15,-2.083333,1905.0,-75.87608093380732,2.8070824043141362
21.0,57.15,-2.083333,1915.0,-48.36047734278691,3.4033528641229953
21.0,57.15,-2.083333,1925.0,-31.910190348533433,2.807082406721816
21.0,57.15,-2.083333,1935.0,-44.404755952016785,2.8070824043625198
21.0,57.15,-2.083333,1945.0,-15.935899625155798,2.807082405742616
21.0,57.15,-2.083333,1955.0,-22.827932858423083,2.8070824030469357
22.0,51.9775,4.12,1865.0,-384.25857372789324,18.848762495825657
22.0,51.9775,4.12,1875.0,-293.45562636021805,2.8024719287826745
22.0,51.9775,4.12,1885.0,-271.75700514776145,2.80247192567408
22.0,51.9775,4.12,1895.0,-263.5906283960985,2.80247192416017
22.0,51.9775,4.12,1905.0,-222.74400591245467,2.802471927497235
22.0,51.9775,4.12,1915.0,-184.49093829619505,2.8024719335136448
22.0,51.9775,4.12,1925.0,-167.7719283144279,2.802471927303381
22.0,51.9775,4.12,1935.0,-151.48257199665932,2.8024719241417078
22.0,51.9775,4.12,1945.0,-133.27170985440443,2.802471926890286
22.0,51.9775,4.12,1955.0,-121.20025383280972,2.8024719301581174
22.0,51.9775,4.12,1965.0,-96.15010781190904,2.8024719251963672
22.0,51.9775,4.12,1975.0,-85.37097269559308,2.802471924903278
22.0,51.9775,4.12,1985.0,-15.926699858717257,2.802471928286499
22.0,51.9775,4.12,1995.0,-23.952227659405253,2.802471933541338
22.0,51.9775,4.12,2005.0,20.609583399780604,2.802471932015889
22.0,51.9775,4.12,2015.0,36.0590050663759,2.802556354381913
23.0,52.964444,4.745,1865.0,-414.8650849675487,31.52659989530137
